private_key,public_x,public_y,vertex_index
1,0,1,1
2,63,93,71
3,72,109,79
4,244,135,277
5,20,95,21
6,105,133,117
7,48,204,52
8,204,203,229
9,4,123,7
10,236,80,270
11,248,184,281
12,210,8,236
13,222,92,252
14,183,2,208
15,113,152,127
16,202,140,225
17,3,28,5
18,78,50,85
19,167,129,189
20,203,141,227
21,121,80,136
22,181,53,204
23,14,160,20
24,147,212,167
25,119,127,133
26,233,210,265
27,135,186,151
28,174,151,195
29,144,22,162
30,30,26,27
31,145,171,165
32,199,34,222
33,165,12,186
34,57,196,62
35,221,62,250
36,98,215,109
37,246,97,278
38,213,173,241
39,160,208,181
40,127,241,143
41,122,57,138
42,134,135,149
43,118,132,131
44,138,50,152
45,187,29,214
46,124,116,140
47,176,22,196
48,206,137,233
49,129,4,144
50,92,207,103
51,148,246,169
52,141,137,157
53,234,51,266
54,96,178,105
55,191,141,219
56,177,161,199
57,205,42,230
58,36,42,33
59,5,70,9
60,75,219,84
61,228,19,258
62,35,201,32
63,54,49,59
64,173,152,193
65,161,153,183
66,164,170,185
67,150,74,170
68,39,226,38
69,73,215,82
70,154,108,172
71,53,29,57
72,47,31,49
73,186,174,213
74,207,102,234
75,108,110,120
76,182,229,207
77,97,134,107
78,120,57,134
79,216,99,244
80,83,131,96
81,41,213,42
82,81,174,92
83,100,86,110
84,190,214,217
85,51,210,54
86,7,241,12
87,185,218,211
88,220,53,248
89,44,89,45
90,211,79,238
91,62,145,70
92,156,82,176
93,69,219,76
94,140,186,155
95,58,12,63
96,60,204,68
97,31,74,29
98,242,4,274
99,37,95,35
100,155,114,174
101,1,76,3
102,102,130,115
103,143,47,160
104,194,156,221
105,80,36,89
106,231,196,263
107,68,160,74
108,45,178,48
109,159,227,179
110,101,198,113
111,218,41,246
112,229,56,260
113,91,101,100
114,180,237,203
115,10,209,16
116,11,222,18
117,40,245,40
118,70,74,77
119,9,194,14
120,110,178,123
121,227,65,256
122,59,240,66
123,142,147,159
124,52,193,56
125,226,72,254
126,117,10,128
127,235,174,269
128,28,239,26
129,107,219,119
130,169,91,190
131,237,2,272
132,87,59,97
133,25,66,23
134,42,191,44
135,131,4,146
136,112,52,124
137,82,2,93
138,79,197,88
139,179,238,201
140,214,55,242
141,89,0,99
142,214,196,243
143,179,13,200
144,79,54,87
145,82,249,94
146,112,199,125
147,131,247,147
148,42,60,43
149,25,185,24
150,87,192,98
151,237,249,273
152,169,160,191
153,107,32,118
154,28,12,25
155,235,77,268
156,117,241,129
157,226,179,255
158,52,58,55
159,142,104,158
160,59,11,65
161,227,186,257
162,110,73,122
163,9,57,13
164,70,177,78
165,40,6,39
166,11,29,17
167,10,42,15
168,180,14,202
169,91,150,101
170,229,195,261
171,218,210,247
172,101,53,112
173,159,24,178
174,45,73,47
175,68,91,73
176,231,55,262
177,80,215,90
178,194,95,220
179,143,204,161
180,102,121,114
181,1,175,4
182,155,137,175
183,37,156,36
184,242,247,275
185,31,177,30
186,60,47,67
187,58,239,64
188,140,65,154
189,69,32,75
190,156,169,177
191,62,106,69
192,211,172,239
193,44,162,46
194,220,198,249
195,185,33,210
196,7,10,11
197,51,41,53
198,190,37,216
199,100,165,111
200,81,77,91
201,41,38,41
202,83,120,95
203,216,152,245
204,120,194,135
205,97,117,106
206,182,22,206
207,108,141,121
208,207,149,235
209,186,77,212
210,47,220,50
211,53,222,58
212,154,143,173
213,73,36,81
214,39,25,37
215,150,177,171
216,164,81,184
217,161,98,182
218,173,99,192
219,54,202,60
220,35,50,31
221,228,232,259
222,75,32,83
223,5,181,10
224,36,209,34
225,205,209,231
226,177,90,198
227,191,110,218
228,96,73,104
229,234,200,267
230,141,114,156
231,148,5,168
232,92,44,102
233,129,247,145
234,206,114,232
235,176,229,197
236,124,135,141
237,187,222,215
238,138,201,153
239,118,119,130
240,134,116,148
241,122,194,139
242,127,10,142
243,160,43,180
244,213,78,240
245,246,154,279
246,98,36,108
247,221,189,251
248,57,55,61
249,165,239,187
250,199,217,223
251,145,80,164
252,30,225,28
253,144,229,163
254,174,100,194
255,135,65,150
256,233,41,264
257,119,124,132
258,147,39,166
259,14,91,19
260,181,198,205
261,121,171,137
262,203,110,226
263,167,122,188
264,78,201,86
265,3,223,6
266,202,111,224
267,113,99,126
268,183,249,209
269,222,159,253
270,210,243,237
271,248,67,280
272,236,171,271
273,4,128,8
274,204,48,228
275,48,47,51
276,105,118,116
277,20,156,22
278,244,116,276
279,72,142,80
280,63,158,72
281,0,250,2
